Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName
00137,FILTRO AR JD AH115836,12,8,18,5083
00999,FILTRO LUBRIFICANTE MANN W962,12,8,18,56
01000,FILTRO AR MANN C20500,12,1,18,02-A-005
01003,FILTRO LUBRIFICANTE MANN W11102/4,12,6,18,002-A-004
01008,FILTRO AR MANN C19171,12,1,18,5088
01009,FILTRO AR MANN CF700,12,6,18,001-A-004
01010,FILTRO AR MANN CF800,12,6,18,002-A-002
01014,FILTRO COMBUSTIVEL METAL LEVE KL582,12,4,18,001-A-005
01016,FILTRO AR MANN C23610,12,5,18,57
01018,FILTRO COMBUSTIVEL MANN P917X,12,3,18,56
01019,FILTRO LUBRIFICANTE MANN W934,12,9,18,56
01020,FILTRO AR MANN C27830,12,1,18,003-A-012
01021,FILTRO COMBUSTIVEL MANN WK842,12,3,18,5684
01022,FILTRO AR MANN C20325/2,12,2,18,01-A-005
01023,FILTRO LUBRIFICANTE MANN W950/8,12,1,18,54
01024,FILTRO COMBUSTIVEL MANN WK723,12,27,18,139
01025,FILTRO COMBUSTIVEL MANN WK1040,12,2,18,5684
01027,FILTRO LUBRIFICANTE MANN H947/1,12,4,18,56
01029,FILTRO AR MANN C17225/3,12,2,18,5085
01030,FILTRO COMBUSTIVEL MANN BFU707,12,2,18,138
01031,FILTRO COMBUSTIVEL MANN P945X,12,16,18,5684
01032,FILTRO LUBRIFICANTE MANN W1170,12,4,18,56
01034,FILTRO LUBRIFICANTE MANN H12111,12,2,18,003-A-001
01035,FILTRO COMBUSTIVEL MANN WK950/13,12,1,18,Vazio
01037,FILTRO AR MANN CF600/1,12,3,18,5084
01040,FILTRO AR MANN CF1000,12,1,18,5084
01043,FILTRO COMBUSTIVEL FLEETGUARD FS1000,12,3,18,56
01045,FILTRO LUBRIFICANTE DELPHI EFH101,12,7,18,56
01047,FILTRO COMBUSTIVEL RACOR R26A50,12,11,18,139
01050,FILTRO LUBRIFICANTE FLEETGUARD LF3000,12,10,18,137
01061,FILTRO COMBUSTIVEL RACOR R60-10M,12,4,18,003-A-002
01063,FILTRO COMBUSTIVEL FLEETGUARD FS1212,12,3,18,02-A-004
01066,FILTRO COMBUSTIVEL MANN WK731,12,6,18,5684
01071,FILTRO HIDRAULICO HYSTER 1337159,12,3,18,5085
01072,FILTRO HIDRAULICO JD AH128449,12,65,18,01-A-002
