Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName
05661,TUBO MARCHESAN 0511013789,12,30,604,137
05842,CORREIA MARCHESAN 0503012780,12,2,604,137
05909,MOLA MARCHESAN TRACAO PS3 05030425,12,6,604,137
05947,MOLA MARCHESAN 0503030110,12,30,604,137
05956,MOLA MARCHESAN 0503030378,12,133,604,137
06085,CORREIA JACTO 074799,12,1,604,1
06086,CORREIA JACTO 916098,12,3,604,1
06211,RELOGIO JACTO 644955,12,2,604,1
06367,CABECOTE JACTO 082339,12,1,604,1
06377,MANCAL JUMIL 2729695,12,59,604,CONTAINER-02
06442,REPARO VEDACAO JACTO 427930,12,1,604,1
06452,EIXO JUMIL 2730119,12,16,604,CONTAINER-02
06456,MOLA JACTO 967000,12,2,604,1
06496,GUARDA MARCHESAN 0521015376,12,74,604,137
06519,PARAFUSO JACTO 872754,12,1,604,1
06522,MOLA JACTO 643189,12,3,604,1
06530,CARDAN JACTO 644781,12,2,604,1
06565,PENEIRA JD AH212249,12,4,604,Vazio
06573,PROTECAO 001T7011,12,1,604,7559
06664,DISCO JACTO 242511,12,2,604,1
06701,ROLDANA MARCHESAN 0503030402,12,37,604,137
06706,PORCA MARCHESAN 0503030282,12,97,604,137
06708,ROSCA MARCHESAN 0503031164,12,36,604,137
06709,ROSCA MARCHESAN 0503031165,12,34,604,137
06735,TAMPA JACTO 86173,12,1,604,1
06800,MANCAL MARCHESAN 0503030275,12,69,604,137
06801,ARRUELA MARCHESAN 0503030303,12,102,604,137
06808,RETENTOR MARCHESAN 0503012734,12,9,604,137
06810,ENGRENAGEM MARCHESAN 0511063106,12,10,604,137
06811,MANCAL MARCHESAN 0501052775,12,2,604,137
06813,ANEL MARCHESAN 0503010302,12,176,604,137
06814,MOLA MARCHESAN 0503030198,12,30,604,137
06816,CONTRA PINO MARCHESAN 0503010140,12,115,604,137
06819,ARRUELA MARCHESAN 0503010329,12,22,604,137
06822,ENGRENAGEM MARCHESAN 0502011418,12,19,604,137
06823,ENGRENAGEM MARCHESAN 0502011411,12,64,604,137
06825,ANEL MARCHESAN 0503010406,12,35,604,137
06826,PARAFUSO MARCHESAN 0503010519,12,913,604,333
06827,PARAFUSO MARCHESAN 0501010370,12,99,604,333
06828,ARRUELA MARCHESAN 0501010322,12,159,604,333
06833,ARRUELA MARCHESAN 0501010637,12,51,604,137
06835,EIXO MARCHESAN 0501017391,12,1,604,137
06836,EIXO MARCHESAN 0511011253,12,4,604,137
06837,EIXO MARCHESAN 0531017198,12,21,604,137
06839,EIXO MARCHESAN 0531017199,12,33,604,137
06840,BASE MARCHESAN 0502011212,12,11,604,137
06843,BASE MARCHESAN 0501013413,12,5,604,137
06844,BASE MARCHESAN 0501013414,12,2,604,137
06845,BRACO MARCHESAN 0501051119,12,33,604,137
06857,ENGRENAGEM MARCHESAN 0503031805,12,50,604,137
06937,CHAPA JD AH168122,12,4,604,Vazio
06970,VISOR MARCHESAN KIT GRANDE,12,15,604,137
06971,VISOR MARCHESAN KIT PEQUENO,12,10,604,137
06974,GUARDA MARCHESAN 0521018921,12,118,604,137
06975,GUARDA MARCHESAN 0521016316,12,44,604,137
06979,ALGEMA JUMIL 2731675,12,2,604,CONTAINER-02
07157,PARAFUSO SEXTAVADO 16X100MM MA RP 8.8,12,17,604,MEZANINO-21-N/K
07190,"PARAFUSO MARCHESAN ROSCA ESQ 1 ENTRADAS 3/4"" X 3.1/2""",12,93,604,137
07226,CONDUTOR MARCHESAN 0511061769,12,13,604,137
07227,CONDUTOR MARCHESAN 0511061770,12,15,604,137
07235,PENEIRA CASE 1347371C2,12,1,604,Vazio
07246,VALVULA JACTO 587378,12,13,604,1
07408,RETENTOR JACTO PONTA EIXO 02395758243,12,2,604,1
07708,MANGUEIRA JACTO 836296,12,1,604,1
07911,ESGOTADOR MARCHESAN 0503060172,12,20,604,137
07970,REPARO VEDACAO JACTO 108126,12,2,604,52
07972,VALVULA JACTO 261404,12,8,604,52
08036,BRACO JACTO 992941,12,1,604,1
08037,BRACO JACTO 992933,12,1,604,1
08081,CORRENTE JACTO 643304,12,1,604,1
08165,AMORTECEDOR JACTO 588020,12,1,604,1
08530,ROTOR JACTO 82016,12,1,604,1
08532,MOLA JACTO 349076,12,2,604,1
08533,CABO JACTO 846733,12,1,604,1
08534,MOLA JACTO 089888,12,2,604,1
08674,ABRACADEIRA JUMIL 0427437,12,4,604,CONTAINER-01
08932,ROLAMENTO ROLETE TIMKEN HM88542/10,12,2,604,1
09332,FECHADURA JACTO 860395,12,2,604,1
09383,JUNTA JACTO 743732,12,2,604,1
09491,SUPORTE JUMIL 2731955,12,11,604,CONTAINER-01
09505,BRACO JUMIL 2734337,12,15,604,CONTAINER-01
09534,SUPORTE JUMIL 2739331,13,2,604,CONTAINER-01
09554,PARAFUSO MARCHESAN 0501010127R,12,69,604,MEZANINO-020-G
09648,RETENTOR JACTO 749382,12,1,604,1
09650,PASTILHA JACTO 783308,14,5,604,1
09654,MEXEDOR JACTO 515759,14,1,604,1
09674,CHAPA JD AH222862,12,1,604,Vazio
10146,CABECOTE JACTO 911834,12,1,604,52
10148,ELETROCALHA PERFURADA 200X200 GF ELECON 308622,12,31,604,Vazio
10149,TAMPA ENCAIXE ELETROCALHA 200 GF ELECON 497440,12,15,604,Vazio
10154,EIXO MARCHESAN 0521018922,12,81,604,137
10164,BRACO MARCHESAN 0511064050,12,1,604,137
10165,HASTE MARCHESAN 0502010175,12,2,604,137
10171,PARAFUSO MARCHESAN 0501011543,12,4,604,137
10172,GUIA MARCHESAN 0511060377,12,3,604,137
10173,MOLA MARCHESAN 0503031340,12,9,604,137
10175,LUVA MARCHESAN 0502040725,12,2,604,137
10176,GUIA MARCHESAN 0511064051,12,2,604,137
10178,EIXO MARCHESAN 0521010641,12,17,604,137
10179,CONTRA PINO MARCHESAN 0503010257,12,150,604,137
10185,PARAFUSO MARCHESAN 0501011752,12,20,604,137
10188,EIXO MARCHESAN 0511018700,12,11,604,137
10189,CHASSIS MARCHESAN 0511064022,12,1,604,137
10190,MANCAL MARCHESAN 0501053297,12,2,604,137
10191,EIXO MARCHESAN 0511063045,12,1,604,137
10196,LUVA MARCHESAN 0531015155,12,96,604,137
10197,PARAFUSO MARCHESAN 0501010422,12,6,604,137
10199,DISTRIBUIDOR MARCHESAN 0501051094,12,32,604,137
10201,EIXO MARCHESAN 0521017623,12,4,604,137
10202,PARAFUSO MARCHESAN 0501010163,12,3,604,137
10203,PARAFUSO MARCHESAN 0503010752,12,4,604,137
10204,PARAFUSO MARCHESAN 0503010674,12,3,604,137
10210,BRACO MARCHESAN 0501052978,12,2,604,137
10238,RETENTOR JACTO 546655,12,4,604,1
10239,ROLO STARA 2581-2026,13,2,604,Vazio
10274,PARAFUSO JACTO 6817,12,24,604,1
10311,ROLAMENTO JACTO 180315,12,4,604,1
10432,BUCHA JACTO 073403,12,2,604,1
